[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\template\engine.py first seen with mtime 1604686151.3190508
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\requests\structures.py first seen with mtime 1605866190.5301104
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1605866189.9061508
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\ssl.py first seen with mtime 1553545282.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\exceptions.py first seen with mtime 1604686150.8893557
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\utils\functional.py first seen with mtime 1604686151.3709445
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\stringprep.py first seen with mtime 1553545282.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1604686151.3619356
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1604686176.8839493
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\template\loader.py first seen with mtime 1604686151.3210864
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\cloudinary\auth_token.py first seen with mtime 1606154783.8789246
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\chardet\jisfreq.py first seen with mtime 1605866189.004769
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\urllib3\request.py first seen with mtime 1605866189.8752322
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\jinja2\compiler.py first seen with mtime 1560724044.1290126
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\urls\utils.py first seen with mtime 1604686151.3549545
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1604686175.8899286
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\whitenoise\string_utils.py first seen with mtime 1606154896.4188666
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1604686148.0273104
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\pickle.py first seen with mtime 1553545282.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\middleware\cache.py first seen with mtime 1604686151.3041296
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1604686150.6216724
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\Desktop\Django\mlatte\contacto\api\urls.py first seen with mtime 1605378591.379702
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1604686149.730509
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\Desktop\Django\mlatte\galeria\api\views.py first seen with mtime 1606060844.0119064
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\Desktop\Django\mlatte\inicio\admin.py first seen with mtime 1605199891.7328968
